name_court,type,description,doc_referential_link,version,date,format,operations,status,transactions_volume,api_HTTP_verb,api_balanced,api_endpoint_1,api_endpoint_2,api_exposed_wan,api_status codes,api_port_serveur,api_url_serveur_destination,api_ OAuth2_OIDC_AZ,api_OAuth2_OIDC_scopes,api_OAuth2_OIDC_claims,etl_source,etl_destination,etl_software,etl_transformation_name
AEHE-Programmes,API,Liste des programmes qui sont concernés par AEHE,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary   secundary],/aehe/v1/programme_etude,,TRUE,,3001,/programme_etude,N/A,N/A,N/A,,,,
AEHE-Activités,API,Liste des activités (cours et stages) qui sont concernés par AEHE,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary   secundary],/aehe/v1/activite,,TRUE,,3001,/activite,N/A,N/A,N/A,,,,
AEHE-CodePermanent,API,Moyen pour échanger un matricule contre un code permanent   pour un étudiant,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary   secundary],/aehe/v1/code_permanent,,TRUE,,3001,/code_permanent,N/A,N/A,N/A,,,,
AEHE-Notes,API,Obtenir les notes de tous les étudiants AEHE   pour un semestre (filtres disponibles),,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary   secundary],/aehe/v1/note_scolaire,,TRUE,,3001,/note_scolaire,N/A,N/A,N/A,,,,
AEHE-EtudiantInfo,API,Obtenir la fiche d'inscription d'un étudiant en vue de l'inscrire dans une autre institution   pour AEHE,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary   secundary],/aehe/v1/etudiantInfo,,TRUE,,3001,/etudiantInfo,Azure AD,EtudiantData,Matricule,,,,
AEHE-Logs,API,Obtenir les journaux de AEHE des derniers jours,,V 1.0,2020-07-01,,Lecture,En Prod,,Get,[primary   secundary],/aehe/v1/logs1 (primaire),"
/aehe/v1/logs2 (secondaire)",TRUE,,3001,/logs,,,,,,,
AEHE-Health,API,Donne l'état de l'API (pour balance de charge),,V 1.0,2020-07-01,,Lecture,En Prod,,Get,[primary   secundary],"/aehe/v1/health1 (primaire)
","
/aehe/v1/health2 (secondaire)",TRUE,,3001,/health,,,,,,,
Portail-Calendrier,API,Récupération des évènements des calendriers des étudiants depuis SYNCHRO,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary],/etudiants/v1/calendrier/*,,TRUE,,,,Azure AD,Etudiant,,,,,
Portail-Notes,API,Récupérer les notes de cours depuis Studium,,V 1.0,2021-02-17,,Lecture,En Prod,,Get,[primary],/etudiants/v1/notes/*,,TRUE,,,,Azure AD,Etudiant,,,,,
Portail-Programmes,API,Recherche dans les programmes via SAD,,V 1.0,,,Lecture,En Prod,,Get,[primary],/etudiants/v1/programmes/,,TRUE,,,,Azure AD,Etudiant,,,,,
Portail-Trimestre,API,Retourne le trimestre courant,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary],/etudiants/v1/trimestre/*,,TRUE,,,,Azure AD,Etudiant OU Employé,,,,,
Portail-Cours,API,La liste des cours d'un étudiant depuis StudiUM   via SAD et les métadonnées de StudiUM,,V 1.0,2020-02-25,,Lecture,En Prod,,Get,[primary],/etudiants/v1/cours/*,,TRUE,,,,Azure AD,Etudiant OU Employé,,,,,
